Business,Category,Lifeline,Latitude,Longitude,Zipcode
Virgin Atlantic Airways,airlines,6,42.369618,-71.019296,02128
Frontier,airlines,6,42.3700503010449,-71.0234942275391,02128
MBTA Bus Route 501,publictransport,6,42.349069,-71.151947,02134
MBTA Bus Route 86,publictransport,6,42.3800354003906,-71.1347045898438,02138
MBTA Bus Route 9,publictransport,6,42.3426214884066,-71.0569752752781,02127
Top Cab Association,taxis,6,42.4020614624023,-71.0042190551758,02151
East Boston Tunnel Taxi,taxis,6,42.3694,-71.03982,02128
SureRide,taxis,6,42.5001825,-71.1626809,01801
MBTA North Quincy Station,publictransport,6,42.2749282030528,-71.029395337464,02171
Prudential MBTA E Line T Station,publictransport,6,42.34751,-71.08135,02116
Oak Grove Station,publictransport,6,42.436682,-71.071107,02148
Logan Airport Taxi and Car Service,taxis,6,42.3521183,-71.064472,02116
MBTA Bus Route 87,publictransport,6,42.38274,-71.10055,02143
Tufts Medical Center MBTA Station,publictransport,6,42.353243753314,-71.1737620085478,02135
MBTA Bus Route 88,publictransport,6,42.38274,-71.10055,02143
South Boston Independent Taxi Cab,taxis,6,42.3405,-71.05564,02127
MBTA - Stony Brook Station,metrostations,6,42.316782649932,-71.104345101,02130
MBTA - Central,trainstations,6,42.365323,-71.103351,02139
Orient Heights MBTA Station - Blue Line,publictransport,6,42.3868370056152,-71.0068893432617,02128
Massachusetts Bay Transportation Authority,publictransport,6,42.37408,-71.11908,02138
Hawaiian Airlines,airlines,6,42.36342,-71.0257,02128
Chariot Global Transportaton,taxis,6,42.35866,-71.05675,
Hello Taxi,taxis,6,42.3545303344727,-71.1364517211914,02134
Watertown Taxi,taxis,6,42.3642344,-71.1861103,02472
Swiss International Air Lines,airlines,6,42.3697417946357,-71.0197305787902,02128
Airport Taxi Cab Service,taxis,6,42.3513586,-71.1733995,02135
Boston Airport Taxi Cab,taxis,6,42.394027,-71.1399085,02140
Metro Cab of Boston,taxis,6,42.3794188792889,-71.0630519169065,02129
Mattapan Trolley,publictransport,6,42.27511,-71.09383,02126
Mattapan M Line MBTA Station,metrostations,6,42.26781,-71.0928799,02126
Soloc,taxis,6,42.2076185792685,-71.2106678634882,02062
MBTA Bus Route 73,publictransport,6,42.3623466491699,-71.1024627685547,02139
Brighton Taxi,taxis,6,42.3402901,-71.1664505,02135
MBTA Bus Route 57,publictransport,6,42.35341,-71.13217,02134
Town Taxi,taxis,6,42.35674,-71.13759,02134
Airport Taxi Cambridge Ma,taxis,6,42.394027,-71.1399085,02140
MBTA Bus Route 47,publictransport,6,42.35199,-71.0671651,02116
Hainan Airlines,airlines,6,42.3633413,-71.0254363,02128
Wonderland MBTA Station - Bus & Blue Line,publictransport,6,42.4141081,-70.9921771,02151
Quick Livery,limos,6,42.3584308,-71.0597732,02111
Roxbury Crossing,trainstations,6,42.2921804140352,-71.1315699682617,02130
Patriot Taxi of Waltham,taxis,6,42.37593,-71.23985,02451
Sq Car Service,taxis,6,42.3732109069824,-71.0150146484375,02128
MBTA Bus Route 69,publictransport,6,42.37414,-71.10391,02139
MBTA Bus Route 89,publictransport,6,42.38403,-71.07655,02143
Harvard Square MBTA Station - Red Line & Buses,trainstations,6,42.3737019669415,-71.1190032474356,02138
Yellow Cab Association,taxis,6,42.4230613708496,-71.1078262329102,02155
MBTA Bus Route 71,publictransport,6,42.37482,-71.13247,02138
Alitalia,airlines,6,42.361080825864,-71.0218048095703,02128
Azores Airlines,airlines,6,42.3696942351032,-71.0193979848724,02128
MBTA Bus Route 93,publictransport,6,42.38412,-71.0762699,02129
Cathay Pacific,airlines,6,42.3633413,-71.0254363,02128
MBTA - Tufts Medical Center Station,trainstations,6,42.3508359152349,-71.0618948147123,02111
Parkway Cab Inc,airport_shuttles,6,42.284929,-71.126876,02131
Coastal Livery Transportation Services,limos,6,42.1945826,-70.7253456,02066
Classic Cab,taxis,6,42.3968001455069,-71.1296430230141,02140
MBTA - Malden Center Station,publictransport,6,42.4268425288322,-71.0742626129364,02148
JS Car Service,airport_shuttles,6,42.3544036318819,-71.0603033317196,
The 350 MBTA Bus,publictransport,6,42.358333,-71.060278,02228
Cambridge Cab Company,taxis,6,42.371009,-71.078232,02141
MBTA Bus Route 42,publictransport,6,42.358333,-71.060278,02228
Metric Cab,taxis,6,42.4176130426859,-71.1059396338379,02155
Town Taxi,taxis,6,42.3573969,-71.1556629,02135
Commonwealth Worldwide Executive Transportation,limos,6,42.361877,-71.136122,02134
MassDOT - Sumner Tunnel,publictransport,6,42.33303,-71.05049,02127
PenAir,airlines,6,42.3618318389502,-71.0187590547089,02128
MBTA Bus Route 85,publictransport,6,42.38274,-71.10055,02143
Scandinavian Airlines,airlines,6,42.3698144087319,-71.0196066327576,02128
MBTA Bus 65,publictransport,6,42.3466682,-71.1415024,02135
Jockey Limo,limos,6,42.3555679321289,-71.1924209594727,02458
MBTA Bus Route 80,publictransport,6,42.38274,-71.10055,02143
Malden Taxi,taxis,6,42.4269,-71.06068,02148
Brookline Red Cab,taxis,6,42.3945993930101,-71.0650004446507,02149
MBTA Bus Route 70,publictransport,6,42.3800354003906,-71.1347045898438,02138
MBTA Bus Route CT2,publictransport,6,42.38675,-71.09845,
President's Livery Service,limos,6,42.1479797,-71.0732574,02072
Transportation of New England,airport_shuttles,6,42.36415,-71.10129,02139
Bani Transportation,taxis,6,42.3044089,-71.1080846,02130
El Al Israel Airlines,airlines,6,42.369822335308,-71.0196280904297,02128
Transportation of New England,airport_shuttles,6,42.3584308,-71.0597732,02109
MBTA - Hynes Convention Center,publictransport,6,42.3478758898731,-71.0878998041153,02116
Yellow Cab of Quincy,taxis,6,42.25181,-70.99684,02169
Herald Street - Silver Line,metrostations,6,42.3466,-71.06459,02118
Newton Street - Silver Line,metrostations,6,42.33882,-71.07366,02118
Union Park Street - Silver Line,metrostations,6,42.34131,-71.0697,02118
East Berkeley Street Silver Line Station,busstations,6,42.3402519226074,-71.0750122070312,02118
Sun Country Airlines,airlines,6,42.3666285,-71.0165047,02128
Massachusetts Avenue - Silver Line,metrostations,6,42.34094,-71.08411,02118
MBTA - Science Park,publictransport,6,42.360662075409,-71.0585611787903,02114
Arlington Veterans Taxi,taxis,6,42.405871,-71.1373712,02474
MBTA CT1 Bus route,publictransport,6,42.3516937532968,-71.0805130004883,02601
Saint Marys Street MBTA Station,metrostations,6,42.3459817225175,-71.106893290213,02215
Community College MBTA Station - Orange Line,metrostations,6,42.3735714411057,-71.069518047113,02129
7 MBTA Bus,publictransport,6,42.3459,-71.04216,02210
Heath Circle MBTA Station - Green Line,metrostations,6,42.3249599706882,-71.0985850091511,02101
Airport T Stop,publictransport,6,42.3719899,-71.03372,02128
MBTA Route 10 Bus,publictransport,6,42.3340892130101,-71.0734534263611,02116
Pleasant Street MBTA Station,metrostations,6,42.3515489799753,-71.1190546338684,02215
Charlestown/Boston ferry,publictransport,6,42.3674344846199,-71.0588827730469,02129
Forest Hills Taxi,taxis,6,42.315055847168,-71.1152725219727,02130
Silver Line Way MBTA Station,publictransport,6,42.3477329078192,-71.0395879341196,02210
Metro Cab Assoc,taxis,6,42.3580169677734,-71.0651321411133,02108
Hybrid-Ride,airport_shuttles,6,42.2465057373047,-71.1776733398438,02026
120 MBTA Bus,buses,6,42.3816563934088,-71.020849943161,02128
MBTA Wollaston Station,publictransport,6,42.2665465791122,-71.0203255712986,02170
Qantas,airlines,6,42.369822335308,-71.0195422597412,02128
Butler M Line MBTA Station,metrostations,6,42.272356,-71.062588,02124
Yellow Taxi,taxis,6,42.408604,-71.013703,02151
Premier Logan Taxi,taxis,6,42.4191055297852,-71.0039749145508,02151
OnCabs Boston,airport_shuttles,6,42.344246,-71.076946,02116
WestJet,airlines,6,42.3644716689138,-71.021666569281,02128
Boston Taxi & Limousine Service,limos,6,42.3520393,-71.0725937,02116
Cambridge Taxi Cab,taxis,6,42.3610992,-71.115097,02138
Kent Street - Green Line MBTA,metrostations,6,42.34413839833,-71.1141486429222,02446
MBTA Bus Route 68,publictransport,6,42.3623466491699,-71.1024627685547,02139
Keolis,trains,6,42.3545002,-71.0515934,02210
Logan Airport Express,airport_shuttles,6,42.3803291,-71.0253906,02128
